,school_within_300,bus_stop_within_300,speedlimit,tb_latitude,tb_longitude,day_of_year,accident_year,distance,weather_1,collision_severity,type_of_collision,road_surface,road_cond_1,lighting,number_killed,number_injured,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,CLUSTER_ID,accident
1380,0,1,25,37.79366378,-122.3963904,037,2017,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,108,6,3,8,22,14.3,12.8,15.6,12.4,0.0,186.0,20.2,1010.2,327,1
1382,0,0,50,37.76043326,-122.4159287,319,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,53,3,2,20,9,11.8,6.7,16.7,0.0,0.0,173.0,3.6,1020.1,271,1
1383,0,0,25,37.79192069,-122.4024012,179,2018,50,Clear,Injury (Severe),Broadside,Dry,No Unusual Condition,Daylight,0,2,Pedestrian,South,Not Stated,Driver,West,Proceeding Straight,108,6,3,8,18,17.7,15.6,21.1,0.0,0.0,265.0,24.5,1013.9,339,1
1386,1,1,20,37.78279445,-122.4140538,244,2017,0,Clear,Injury (Other Visible),Sideswipe,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,North,Making Left Turn,Pedestrian,North,Proceeding Straight,20,5,10,36,19,25.5,19.4,40.0,0.0,0.0,,8.3,1008.6,468,1
1387,0,0,10,37.77885093,-122.4300473,027,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Ran Off Road,97,4,11,39,22,9.6,5.6,15.6,0.0,0.0,,7.2,1029.7,243,1
1390,0,1,35,37.74243744,-122.4896202,278,2018,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Right Turn,Pedestrian,South,Not Stated,40,10,7,35,8,15.8,12.8,21.7,0.0,0.0,275.0,18.4,1017.2,55,1
1391,0,1,50,37.75511049,-122.406474,057,2015,198,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Other,54,3,9,20,6,13.9,10.0,19.4,0.0,0.0,,19.8,1016.4,170,1
1392,0,1,25,37.71170156,-122.4088274,071,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,75,9,9,40,8,14.2,10.0,21.1,2.8,0.0,,10.8,1015.9,6,1
1393,0,0,50,37.73348715,-122.4062105,074,2018,0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,2,Driver,North,Making Left Turn,Pedestrian,West,Not Stated,91,2,2,25,21,10.8,6.7,15.0,3.6,0.0,202.0,18.7,1015.7,32,1
1394,1,1,20,37.78279445,-122.4140538,156,2017,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Other,20,5,10,36,17,14.7,10.6,23.3,0.0,0.0,291.0,21.2,1013.0,468,1
1395,0,1,25,37.79855245,-122.4239821,236,2014,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Driver,North,Making Left Turn,Pedestrian,West,Proceeding Straight,107,4,6,32,17,18.5,14.4,23.9,0.0,0.0,291.0,16.6,1011.5,352,1
1397,0,0,20,37.78798842,-122.4182937,051,2018,50,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Proceeding Straight,Pedestrian,West,Stopped In Road,50,6,3,21,18,7.6,2.2,11.7,0.0,0.0,281.0,11.5,1022.8,420,1
1398,0,0,25,37.75716664,-122.4167196,007,2017,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,53,3,2,20,21,10.6,6.7,16.7,21.3,0.0,133.0,20.9,1014.4,273,1
1399,0,1,20,37.73401387,-122.3909679,078,2018,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Left Turn,Pedestrian,East,Not Stated,87,2,9,1,20,11.2,6.7,16.7,0.0,0.0,38.0,7.6,1018.9,41,1
1405,0,0,25,37.75696744,-122.4200303,103,2017,6,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,53,3,2,20,17,13.8,10.0,15.0,0.0,0.0,251.0,24.5,1016.7,275,1
1407,0,0,25,37.75713773,-122.4167168,250,2013,11,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,53,3,2,20,17,22.5,14.4,31.1,0.0,0.0,,13.3,1010.6,273,1
1408,0,0,35,37.71766531,-122.4401066,314,2018,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,West,Other,80,9,1,28,11,12.0,6.7,16.7,0.0,0.0,284.0,3.2,1016.4,153,1
1410,0,0,20,37.78714914,-122.409874,336,2018,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,East,Proceeding Straight,20,6,3,36,12,10.1,5.6,12.8,0.0,0.0,340.0,7.2,1019.7,379,1
1415,0,1,50,37.78624815,-122.4020254,050,2017,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,South,Proceeding Straight,32,1,10,8,11,11.3,10.0,14.4,2.3,0.0,143.0,19.4,1010.2,325,1
1416,0,1,20,37.73445085,-122.3900859,050,2017,92,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Not Stated,Driver,West,Passing Other Vehicle,86,2,9,1,14,11.3,10.0,14.4,2.3,0.0,143.0,19.4,1010.2,41,1
1417,0,1,50,37.72811472,-122.4022147,191,2017,5,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Proceeding Straight,Pedestrian,West,Proceeding Straight,87,2,9,1,1,16.0,12.8,20.0,0.0,0.0,299.0,22.3,1012.5,30,1
1419,1,1,50,37.76157236,-122.423799,330,2014,4,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,North,Proceeding Straight,37,3,5,20,13,14.2,9.4,20.0,0.0,0.0,,3.6,1024.6,166,1
1420,0,0,50,37.7698677,-122.4223648,327,2017,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,53,3,2,20,23,16.6,13.9,19.4,0.0,0.0,,6.1,1019.5,265,1
1421,0,1,20,37.7861927,-122.4173699,149,2015,210,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,East,Backing,20,6,10,36,15,13.4,11.7,16.7,0.0,0.0,266.0,21.6,1015.4,403,1
1422,0,1,65,37.72977558,-122.4333868,018,2018,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Making Left Turn,Pedestrian,West,Proceeding Straight,94,9,1,28,18,12.1,10.0,15.6,3.8,0.0,224.0,9.4,,132,1
1423,0,1,25,37.79585134,-122.4217492,006,2018,35,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Entering Traffic,Driver,North,Proceeding Straight,105,4,3,32,18,12.5,8.9,14.4,0.0,0.0,,11.5,1022.5,391,1
1424,0,1,25,37.72115531,-122.4477516,256,2017,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Right Turn,Pedestrian,North,Proceeding Straight,80,9,1,28,6,19.9,17.2,23.3,0.0,0.0,265.0,13.3,1011.1,136,1
1427,0,1,50,37.7785051,-122.4056153,234,2017,0,Cloudy,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Left Turn,Pedestrian,West,Proceeding Straight,32,1,10,34,21,18.6,15.6,22.8,0.0,0.0,289.0,24.5,1016.3,307,1
1428,0,1,20,37.7885982,-122.4135414,318,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,West,Proceeding Straight,50,6,3,21,8,12.1,6.7,18.3,0.0,0.0,196.0,5.4,1025.8,372,1
1431,0,1,25,37.80643152,-122.4071153,048,2017,9,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,99,6,3,23,11,13.7,12.2,15.0,21.8,0.0,114.0,18.7,,108,1
1433,1,1,25,37.80116975,-122.4110185,323,2017,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,106,6,3,23,17,11.4,7.8,15.0,0.0,0.0,,4.7,1020.0,369,1
1434,0,1,25,37.79948982,-122.4090144,096,2017,0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Right Turn,Pedestrian,North,Proceeding Straight,106,6,3,23,6,15.9,10.0,18.3,25.7,0.0,157.0,24.5,1011.1,382,1
1435,0,1,25,37.76754384,-122.4320438,172,2018,74,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,28,7,5,5,10,15.4,12.2,20.6,0.0,0.0,277.0,28.4,1015.9,195,1
1436,0,0,50,37.77452015,-122.4137639,323,2018,2,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,South,Other,Driver,South,Proceeding Straight,32,1,10,34,18,11.4,6.7,16.7,0.0,0.0,214.0,4.7,1016.6,294,1
1437,0,1,50,37.7782304,-122.3935366,011,2018,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Not Stated,Driver,West,Proceeding Straight,32,1,10,34,16,12.7,11.1,14.4,0.0,0.0,,8.6,1025.9,146,1
1438,0,1,25,37.80721556,-122.4072965,189,2017,60,Clear,Injury (Complaint of Pain),Broadside,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Entering Traffic,Driver,South,Proceeding Straight,99,6,3,23,14,19.8,13.3,26.1,0.0,0.0,291.0,22.3,1013.0,108,1
1440,0,1,15,37.79036966,-122.422329,307,2018,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Proceeding Straight,Driver,South,Proceeding Straight,102,4,6,30,23,16.8,11.7,26.1,0.0,0.0,288.0,9.7,1018.3,421,1
1441,0,1,50,37.75451212,-122.4025575,017,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,East,Proceeding Straight,54,2,9,26,9,8.9,3.3,15.0,0.0,0.0,,4.7,1023.1,170,1
1442,0,1,20,37.78289412,-122.420817,161,2017,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,West,Proceeding Straight,20,4,10,36,20,15.3,12.2,20.0,0.0,0.0,270.0,29.2,1015.0,384,1
1443,0,1,50,37.78399149,-122.4080665,271,2018,0,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Proceeding Straight,Bicyclist,East,Proceeding Straight,19,5,10,34,13,14.8,11.7,20.0,0.0,0.0,244.0,14.4,1011.4,458,1
1444,0,1,20,37.78807422,-122.4219697,265,2018,27,Clear,Fatal,Vehicle/Pedestrian,Dry,Construction or Repair Zone,Dark - Street Lights,1,0,Pedestrian,West,Other,Driver,North,Proceeding Straight,100,4,6,39,20,14.2,11.1,18.9,0.0,0.0,295.0,17.3,1014.3,400,1
1445,0,1,50,37.77306361,-122.4032208,226,2017,6,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,West,Proceeding Straight,32,1,10,34,9,17.2,15.0,17.2,0.0,0.0,250.0,21.2,1012.1,159,1
1447,0,1,50,37.73888149,-122.4145589,239,2017,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,83,9,2,2,18,19.7,15.6,25.0,0.0,0.0,301.0,20.9,1013.0,71,1
1449,0,1,25,37.7935086,-122.3976083,222,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,East,Proceeding Straight,108,6,3,8,14,18.1,15.6,22.8,0.0,0.0,267.0,22.3,1013.7,327,1
1450,0,0,50,37.76800643,-122.4244117,089,2018,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Pedestrian,East,Proceeding Straight,Driver,South,Proceeding Straight,37,3,5,20,19,17.9,12.8,26.1,0.0,0.0,315.0,12.2,1017.4,272,1
1451,0,0,20,37.78827973,-122.4235941,102,2018,0,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,East,Proceeding Straight,100,4,6,39,7,12.2,8.9,17.2,0.0,0.0,293.0,24.8,1024.5,349,1
1452,0,1,50,37.78047851,-122.4125123,177,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Ran Off Road,Pedestrian,South,Stopped In Road,32,5,10,34,12,18.1,14.4,21.7,0.0,0.0,292.0,22.7,1013.9,471,1
1453,0,0,50,37.78264973,-122.3910606,143,2018,101,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,North,Making Left Turn,31,1,10,8,9,14.1,12.8,17.2,0.0,0.0,255.0,16.9,1014.4,185,1
1454,0,1,35,37.73664995,-122.4940697,044,2018,9,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,South,Not Stated,40,10,7,35,13,12.5,9.4,17.2,0.0,0.0,,12.6,1020.0,52,1
1455,0,1,25,37.72308024,-122.4523316,225,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,East,Proceeding Straight,95,10,8,24,13,16.3,12.2,20.6,0.0,0.0,302.0,19.8,1016.5,130,1
1456,0,1,30,37.78515346,-122.4330639,115,2017,6,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Left Turn,Pedestrian,North,Not Stated,101,4,11,15,21,13.6,11.1,17.8,0.0,0.0,275.0,27.0,1018.9,250,1
1457,0,1,50,37.77878537,-122.4104015,109,2018,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,West,Making Right Turn,Pedestrian,East,Proceeding Straight,32,1,10,34,19,12.6,8.9,17.2,0.0,0.0,280.0,23.4,1018.7,381,1
1459,0,1,50,37.77643067,-122.3958155,264,2018,340,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Other,Driver,East,Proceeding Straight,34,1,10,4,18,18.8,11.1,23.3,0.0,0.0,306.0,15.5,1013.5,154,1
1460,0,0,10,37.77406165,-122.4376106,036,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,West,Making Right Turn,23,4,11,9,13,15.8,11.7,22.2,0.0,0.0,,10.1,1016.5,230,1
1461,0,1,30,37.76421947,-122.4525109,334,2018,107,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Other,Driver,South,Proceeding Straight,110,7,11,14,13,13.3,10.0,15.6,0.0,0.0,283.0,25.2,1016.1,65,1
1462,0,1,30,37.78537002,-122.4313867,242,2013,6,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Right Turn,Pedestrian,West,Proceeding Straight,101,4,11,15,8,18.9,15.6,25.6,0.0,0.0,330.0,21.6,1016.0,262,1
1465,0,1,30,37.74270315,-122.3879264,082,2017,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,76,2,9,1,16,12.2,10.0,16.1,0.0,0.0,268.0,17.6,1022.6,18,1
1466,0,1,25,37.75169649,-122.4275742,071,2017,40,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Parking Maneuver,Pedestrian,North,Not Stated,84,3,5,22,23,13.6,8.9,21.1,0.0,0.0,,13.7,,122,1
1467,0,1,50,37.77011145,-122.4200083,151,2017,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Not Stated,Driver,East,Proceeding Straight,53,3,2,20,10,15.3,12.2,21.1,0.0,0.0,275.0,23.4,1014.3,212,1
1468,1,0,50,37.76059551,-122.4192405,127,2017,132,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making U Turn,Pedestrian,North,Proceeding Straight,53,3,2,20,15,13.8,10.0,21.1,0.0,0.0,289.0,20.5,1009.1,271,1
1469,1,1,25,37.73232632,-122.4488687,229,2017,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,Construction or Repair Zone,Daylight,0,1,Pedestrian,East,Not Stated,Driver,North,Proceeding Straight,95,9,8,41,18,18.5,15.6,22.2,0.0,0.0,315.0,18.4,1015.4,2,1
1470,0,0,50,37.78889443,-122.4036607,144,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Proceeding Straight,Driver,North,Stopped In Road,19,6,3,8,22,14.2,12.8,17.8,0.0,0.0,246.0,14.8,1017.4,434,1
1471,0,0,50,37.76946255,-122.4062134,025,2017,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,East,Proceeding Straight,Pedestrian,East,Proceeding Straight,33,3,9,20,18,8.9,5.0,13.3,0.0,0.0,,8.6,1026.5,186,1
1478,0,0,35,37.78941206,-122.4221352,022,2018,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,Construction or Repair Zone,Dark - Street Lights,0,1,Driver,West,Making Left Turn,Pedestrian,East,Proceeding Straight,105,4,3,21,5,12.9,10.6,14.4,6.4,0.0,263.0,14.4,1026.3,401,1
1479,0,1,25,37.72072422,-122.4466087,222,2018,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Making Left Turn,Pedestrian,South,Proceeding Straight,80,9,1,28,1,15.7,11.1,21.7,0.0,0.0,298.0,20.5,1014.6,135,1
1480,0,1,35,37.78121348,-122.4599997,216,2018,0,Clear,Fatal,Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,1,0,Driver,East,Proceeding Straight,Pedestrian,South,Not Stated,5,8,4,11,1,16.6,12.8,22.8,0.0,0.0,286.0,25.6,1012.9,114,1
1481,0,1,50,37.76510126,-122.4188424,058,2014,42,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,53,3,2,20,8,14.5,12.8,18.3,1.3,0.0,181.0,16.2,1008.6,284,1
1484,0,1,50,37.77428104,-122.4047485,188,2017,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Bicyclist,North,Proceeding Straight,Pedestrian,East,Proceeding Straight,32,1,10,34,9,17.8,12.2,27.2,0.0,0.0,299.0,22.7,1015.4,296,1
1485,0,1,50,37.78633867,-122.4050006,177,2018,5,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Driver,East,Slowing/Stopping,Pedestrian,South,Stopped In Road,32,5,10,8,12,18.1,14.4,21.7,0.0,0.0,292.0,22.7,1013.9,430,1
1489,0,0,15,37.7207728,-122.4770209,085,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Slowing/Stopping,Pedestrian,North,Proceeding Straight,42,10,8,16,8,11.6,7.2,16.7,0.0,0.0,287.0,17.6,1022.4,20,1
1491,0,1,20,37.78475345,-122.421193,313,2017,0,Raining,Injury (Severe),Vehicle/Pedestrian,Wet,Construction or Repair Zone,Dark - Street Lights,0,1,Pedestrian,East,Slowing/Stopping,Driver,South,Proceeding Straight,20,4,11,39,1,16.8,15.0,20.0,0.8,0.0,173.0,10.1,1016.1,405,1
1492,0,0,20,37.7858929,-122.4197387,262,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Left Turn,Pedestrian,South,Not Stated,20,4,10,36,1,14.7,10.6,23.9,0.0,0.0,284.0,13.0,1011.6,419,1
1493,0,1,50,37.77744527,-122.4131424,192,2013,6,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,32,1,10,34,12,14.8,11.7,19.4,0.0,0.0,266.0,18.7,1013.9,373,1
1494,0,1,15,37.73244524,-122.391523,156,2017,5,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Right Turn,Pedestrian,West,Not Stated,87,2,9,1,9,14.7,10.6,23.3,0.0,0.0,291.0,21.2,1013.0,38,1
1495,0,1,50,37.78097118,-122.4087087,328,2018,0,Clear,Injury (Severe),Sideswipe,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Right Turn,Pedestrian,East,Proceeding Straight,32,1,10,34,18,15.4,11.1,16.1,0.0,0.0,274.0,16.6,1016.9,459,1
1497,0,0,25,37.80060875,-122.4378895,141,2018,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,West,Proceeding Straight,17,4,6,13,15,14.2,11.1,19.4,0.0,0.0,260.0,18.4,1011.6,238,1
1498,0,1,30,37.74129787,-122.3871429,186,2017,60,Clear,Injury (Severe),Broadside,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,86,2,9,1,17,15.4,12.8,19.4,0.0,0.0,291.0,25.9,1016.9,18,1
1500,1,1,25,37.7920057,-122.3916458,307,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,North,Not Stated,108,1,10,8,10,16.8,11.7,26.1,0.0,0.0,288.0,9.7,1018.3,321,1
1503,0,1,50,37.7528572,-122.4081095,088,2014,23,Raining,Injury (Complaint of Pain),Broadside,Wet,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,53,3,2,20,13,15.5,11.7,15.6,14.5,0.0,214.0,17.3,1018.1,165,1
1504,1,1,25,37.79621095,-122.405143,023,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,104,6,3,6,15,10.7,7.2,13.9,0.0,0.0,,6.1,1024.2,375,1
1505,0,1,35,37.73957821,-122.4069682,341,2015,6,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,West,Not Stated,82,2,2,1,11,14.1,12.2,14.4,0.0,0.0,,3.6,1025.3,105,1
1506,0,0,35,37.78920314,-122.4237811,019,2016,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,North,Proceeding Straight,102,4,6,39,11,13.9,11.7,16.7,26.4,0.0,,20.9,1017.6,349,1
1507,0,1,50,37.77548761,-122.3937342,324,2013,155,Raining,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Entering Traffic,Driver,East,Proceeding Straight,34,1,10,4,6,14.0,10.6,15.0,16.0,0.0,211.0,11.5,1012.6,155,1
1508,0,1,50,37.77674611,-122.4078421,320,2017,0,Raining,Injury (Severe),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,32,1,10,34,6,15.2,11.7,17.2,40.6,0.0,249.0,13.0,1011.9,295,1
1510,0,0,50,37.74502008,-122.4003782,075,2015,24,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Entering Traffic,Driver,East,Making Left Turn,85,2,9,1,15,16.4,13.9,20.6,0.0,0.0,,9.7,1016.9,134,1
1511,1,0,25,37.79742388,-122.4102345,136,2013,8,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Not Stated,104,6,3,6,7,14.0,12.2,17.8,0.0,0.0,264.0,28.8,1016.9,351,1
1512,0,1,25,37.72072613,-122.4466293,079,2018,6,Raining,Injury (Severe),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,South,Not Stated,Driver,East,Proceeding Straight,80,9,1,28,6,13.8,11.7,14.4,10.7,0.0,91.0,9.0,1014.1,135,1
