,id,unique_id,cnn_intrsctn_fkey,cnn_sgmt_fkey,case_id_pkey,tb_latitude,tb_longitude,geocode_source,geocode_location,collision_datetime,collision_date,collision_time,accident_year,month,day_of_week,primary_rd,secondary_rd,distance,weather_1,collision_severity,type_of_collision,mviw,ped_action,road_surface,road_cond_1,lighting,intersection,number_killed,number_injured,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,point,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour
8452,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3443,37320,33541000.0,8049101.0,170352541,37.7222737431691,-122.485037470445,SFPD-CROSSROADS,CITY STREET,04/29/2017 11:28:00 PM,2017 April 29,23:28:00,2017,April,Saturday,LAKE MERCED BLVD,FONT BLVD,628.0,Clear,Fatal,Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - No Street Lights,Midblock > 20ft,1.0,1,1.0,Pedestrian,West,Not Stated,Driver,South,Proceeding Straight,POINT (-122.48504 37.722275),42.0,10.0,8.0,16.0,23
8458,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-29a7,37246,23055000.0,,180224275,37.7207728013,-122.477020859,SFPD-INTERIM DB,CITY STREET,03/26/2018 08:00:00 AM,2018 March 26,08:00:00,2018,March,Monday,HOLLOWAY AVE,CARDENAS AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Slowing/Stopping,Pedestrian,North,Proceeding Straight,POINT (-122.47702 37.72077),42.0,10.0,8.0,16.0,08
8459,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-23d3,32467,25297000.0,8142000.0,170912747,37.7925515572989,-122.419393374593,SFPD-CROSSROADS,CITY STREET,11/08/2017 05:56:00 PM,2017 November 08,17:56:00,2017,November,Wednesday,LARKIN ST,CLAY ST,15.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,North,Proceeding Straight,Pedestrian,East,Proceeding Straight,POINT (-122.419395 37.792553),105.0,6.0,3.0,21.0,17
8469,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2efc,29331,25192000.0,,170913591,37.7847534462424,-122.421192974263,SFPD-CROSSROADS,CITY STREET,11/09/2017 01:26:00 AM,2017 November 09,01:26:00,2017,November,Thursday,VAN NESS AVE,OFARRELL ST,0.0,Raining,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,Construction or Repair Zone,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Slowing/Stopping,Driver,South,Proceeding Straight,POINT (-122.421196 37.78475),20.0,4.0,11.0,39.0,01
8477,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-21c3,29914,25182000.000000004,,180730965,37.7858929011,-122.419738734,SFPD-INTERIM DB,CITY STREET,09/19/2018 01:30:00 AM,2018 September 19,01:30:00,2018,September,Wednesday,GEARY ST,POLK ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,South,Not Stated,POINT (-122.41974 37.785892),20.0,4.0,10.0,36.0,01
8478,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-1fd5,15852,24311000.0,406000.0,130569899,37.7774452737957,-122.413142444753,SFPD-CROSSROADS,CITY STREET,07/11/2013 12:25:00 PM,2013 July 11,12:25:00,2013,July,Thursday,08TH ST,MISSION ST,6.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.41314 37.777447),32.0,1.0,10.0,34.0,12
8479,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-334a,3200,20498000.0,214201.0,170459056,37.7324452398186,-122.391523015387,SFPD-CROSSROADS,CITY STREET,06/05/2017 09:48:00 AM,2017 June 05,09:48:00,2017,June,Monday,03RD ST,REVERE AVE,5.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Right Turn,Pedestrian,West,Not Stated,POINT (-122.391525 37.732445),87.0,2.0,9.0,1.0,09
8485,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-1f69,16916,24293000.0,,180889681,37.7809711833,-122.408708674,SFPD-INTERIM DB,CITY STREET,11/24/2018 06:59:00 PM,2018 November 24,18:59:00,2018,November,Saturday,06TH ST,MISSION ST,0.0,Clear,Injury (Severe),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Right Turn,Pedestrian,East,Proceeding Straight,POINT (-122.40871 37.78097),32.0,1.0,10.0,34.0,18
8500,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-28ce,30401,25220000.000000004,,180271840,37.7873391636,-122.423403593,SFPD-INTERIM DB,CITY STREET,04/12/2018 09:44:00 PM,2018 April 12,21:44:00,2018,April,Thursday,SUTTER ST,FRANKLIN ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,South,Proceeding Straight,POINT (-122.4234 37.78734),100.0,4.0,6.0,39.0,21
8504,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2779,35532,26771000.000000004,,180379024,37.8006087456,-122.437889456,SFPD-INTERIM DB,CITY STREET,05/21/2018 03:41:00 PM,2018 May 21,15:41:00,2018,May,Monday,CHESTNUT ST,STEINER ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,West,Proceeding Straight,POINT (-122.43789 37.80061),17.0,4.0,6.0,13.0,15
8506,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3280,5308,20237000.0,9564000.0,170546233,37.7412978712872,-122.387142856894,SFPD-CROSSROADS,CITY STREET,07/05/2017 05:03:00 PM,2017 July 05,17:03:00,2017,July,Wednesday,FAIRFAX AVE,NEWHALL ST,60.0,Clear,Injury (Severe),Broadside,Pedestrian,Crossing in Crosswalk Not at Intersection,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.387146 37.7413),86.0,2.0,9.0,1.0,17
8515,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2ecd,1092,21497000.0,3257000.0,170927376,37.7098224654013,-122.445476581712,SFPD-CROSSROADS,CITY STREET,11/14/2017 08:40:00 AM,2017 November 14,08:40:00,2017,November,Tuesday,BRUNSWICK ST,LOWELL ST,8.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,West,Proceeding Straight,POINT (-122.44548 37.709824),58.0,9.0,1.0,7.0,08
8520,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2018,26843,24548000.0,,180834937,37.7920057015,-122.391645798,SFPD-INTERIM DB,CITY STREET,11/03/2018 10:05:00 AM,2018 November 03,10:05:00,2018,November,Saturday,HOWARD ST,STEUART ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,North,Not Stated,POINT (-122.39165 37.792007),108.0,1.0,10.0,8.0,10
8524,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2ba8,34475,25479000.000000004,,180106883,37.8076904935,-122.412329557,SFPD-INTERIM DB,CITY STREET,02/09/2018 09:14:00 AM,2018 February 09,09:14:00,2018,February,Friday,POWELL ST,BEACH ST,0.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,POINT (-122.41233 37.80769),99.0,6.0,3.0,23.0,09
8525,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2a31,33546,24840000.0,3150000.0,180191840,37.7980738953,-122.405028094,SFPD-INTERIM DB,CITY STREET,03/13/2018 05:00:00 PM,2018 March 13,17:00:00,2018,March,Tuesday,BROADWAY,KEARNY ST,130.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Stopped In Road,Driver,East,Proceeding Straight,POINT (-122.40503 37.798073),106.0,6.0,3.0,23.0,17
8531,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-315c,8557,23957000.0,1331000.0,140263150,37.7528572037492,-122.408109482078,SFPD-CROSSROADS,CITY STREET,03/29/2014 01:00:00 PM,2014 March 29,13:00:00,2014,March,Saturday,24TH ST,YORK ST,23.0,Raining,Injury (Complaint of Pain),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.40811 37.752857),53.0,3.0,2.0,20.0,13
8532,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-22af,33281,24778000.000000004,,180061011,37.7962109543,-122.405142977,SFPD-INTERIM DB,CITY STREET,01/23/2018 03:58:00 PM,2018 January 23,15:58:00,2018,January,Tuesday,KEARNY ST,JACKSON ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.40514 37.79621),104.0,6.0,3.0,6.0,15
8538,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2a0c,5664,21023000.0,2800102.0,151058675,37.7395782147623,-122.406968173044,SFPD-CROSSROADS,CITY STREET,12/07/2015 11:18:00 AM,2015 December 07,11:18:00,2015,December,Monday,BAY SHORE BLVD,CORTLAND AVE,6.0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,West,Not Stated,POINT (-122.40697 37.73958),82.0,2.0,2.0,1.0,11
8549,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-332f,31889,25227000.0,,160052137,37.7892031400664,-122.423781080783,SFPD-CROSSROADS,CITY STREET,01/19/2016 11:15:00 AM,2016 January 19,11:15:00,2016,January,Tuesday,PINE ST,FRANKLIN ST,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,North,Proceeding Straight,POINT (-122.42378 37.789204),102.0,4.0,6.0,39.0,11
8555,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-22c0,14400,23797000.0,2954000.0,130982586,37.7754876116568,-122.39373418758,SFPD-CROSSROADS,CITY STREET,11/20/2013 06:17:00 AM,2013 November 20,06:17:00,2013,November,Wednesday,BERRY ST,04TH ST,155.0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Wet,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Entering Traffic,Driver,East,Proceeding Straight,POINT (-122.39374 37.775486),34.0,1.0,10.0,4.0,06
8559,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2ebc,15658,24262000.0,,170932955,37.776746108795,-122.407842059796,SFPD-CROSSROADS,CITY STREET,11/16/2017 06:33:00 AM,2017 November 16,06:33:00,2017,November,Thursday,07TH ST,FOLSOM ST,0.0,Raining,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.407845 37.776745),32.0,1.0,10.0,34.0,06
8563,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-233c,8988,24006000.0,13769000.0,130534165,37.7588524517484,-122.408764787406,SFPD-CROSSROADS,CITY STREET,06/29/2013 03:30:00 PM,2013 June 29,15:30:00,2013,June,Saturday,YORK ST,20TH ST,161.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Not in Road,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,,Driver,West,Backing,Pedestrian,North,Proceeding Straight,POINT (-122.40877 37.758854),53.0,3.0,2.0,20.0,15
8564,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-357a,5849,20808000.0,7502000.0,150234919,37.7450200754051,-122.400378167642,SFPD-CROSSROADS,CITY STREET,03/16/2015 03:19:00 PM,2015 March 16,15:19:00,2015,March,Monday,JERROLD AVE,UPTON ST,24.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Entering Traffic,Driver,East,Making Left Turn,POINT (-122.400375 37.74502),85.0,2.0,9.0,1.0,15
8565,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2b60,33705,25111000.0,3156000.0,130401592,37.7974238769691,-122.410234462371,SFPD-CROSSROADS,CITY STREET,05/16/2013 07:30:00 AM,2013 May 16,07:30:00,2013,May,Thursday,BROADWAY,POWELL ST,8.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Left Turn,Pedestrian,North,Not Stated,POINT (-122.41023 37.797424),104.0,6.0,3.0,6.0,07
8566,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-29f6,2182,22105000.0,6131201.0,180208940,37.7207261314,-122.446629264,SFPD-INTERIM DB,CITY STREET,03/20/2018 06:20:00 AM,2018 March 20,06:20:00,2018,March,Tuesday,GENEVA AVE,SAN JOSE AVE,6.0,Raining,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Not Stated,Driver,East,Proceeding Straight,POINT (-122.44663 37.720726),80.0,9.0,1.0,28.0,06
8568,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-290e,28767,25175000.0,,180256074,37.7821692699,-122.418993273,SFPD-INTERIM DB,CITY STREET,04/06/2018 10:23:00 PM,2018 April 06,22:23:00,2018,April,Friday,TURK ST,POLK ST,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,POINT (-122.41899 37.78217),20.0,4.0,10.0,36.0,22
8573,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-353f,30363,25210000.0,10566000.0,170243702,37.7885092015606,-122.42026844403,SFPD-CROSSROADS,CITY STREET,03/25/2017 12:40:00 AM,2017 March 25,00:40:00,2017,March,Saturday,POLK ST,BUSH ST,70.0,Cloudy,Injury (Complaint of Pain),Sideswipe,Pedestrian,"In Road, Including Shoulder",Wet,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Other,Parked Vehicle,North,Parked,POINT (-122.420265 37.78851),50.0,4.0,3.0,21.0,00
8575,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3340,14143,24209000.0,,170463580,37.7725264437977,-122.410076848136,SFPD-CROSSROADS,CITY STREET,06/06/2017 06:09:00 PM,2017 June 06,18:09:00,2017,June,Tuesday,09TH ST,HARRISON ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,South,Proceeding Straight,POINT (-122.41008 37.772526),32.0,1.0,10.0,34.0,18
8597,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-309f,32621,26548000.0,13163101.0,160950393,37.7948219960453,-122.423234175895,SFPD-CROSSROADS,CITY STREET,11/22/2016 06:43:00 AM,2016 November 22,06:43:00,2016,November,Tuesday,VAN NESS AVE,PACIFIC AVE,3.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.42323 37.794823),102.0,4.0,3.0,32.0,06
8604,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-328b,32078,26500000.0,,140982720,37.790160471581,-122.423974965069,SFPD-CROSSROADS,CITY STREET,11/20/2014 05:34:00 AM,2014 November 20,05:34:00,2014,November,Thursday,FRANKLIN ST,CALIFORNIA ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,South,Proceeding Straight,POINT (-122.42397 37.79016),102.0,4.0,6.0,39.0,05
8606,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3095,27133,24618000.000000004,130000.0,160142330,37.7888014528726,-122.400794681221,SFPD-CROSSROADS,CITY STREET,02/17/2016 02:10:00 PM,2016 February 17,14:10:00,2016,February,Wednesday,02ND ST,STEVENSON ST,7.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,South,Making Right Turn,POINT (-122.400795 37.788803),108.0,6.0,10.0,8.0,14
8611,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2bd3,25353,24892000.0,,171049303,37.7857439898553,-122.405831011251,SFPD-CROSSROADS,CITY STREET,12/29/2017 10:15:00 AM,2017 December 29,10:15:00,2017,December,Friday,MARKET ST,04TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Bicyclist,East,Proceeding Straight,Driver,East,Proceeding Straight,POINT (-122.40583 37.785744),32.0,5.0,10.0,8.0,10
8612,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3644,39765,23407000.0,12284101.0,170127441,37.7441048327987,-122.49456631778,SFPD-CROSSROADS,CITY STREET,02/14/2017 06:08:00 AM,2017 February 14,06:08:00,2017,February,Tuesday,SUNSET BLVD,SANTIAGO ST,6.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.49457 37.744106),40.0,10.0,7.0,35.0,06
8618,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2545,11341,24174000.0,,180498505,37.7632997683,-122.421731522,SFPD-INTERIM DB,CITY STREET,06/15/2018 09:15:00 PM,2018 June 15,21:15:00,2018,June,Friday,VALENCIA ST,17TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.42173 37.763298),53.0,3.0,2.0,20.0,21
8628,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2d04,33381,25321000.0,,130096507,37.7978646130608,-122.406667931177,SFPD-CROSSROADS,CITY STREET,02/03/2013 09:50:00 AM,2013 February 03,09:50:00,2013,February,Sunday,COLUMBUS AVE,BROADWAY,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,West,Proceeding Straight,POINT (-122.40667 37.797863),104.0,6.0,3.0,6.0,09
8633,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-36e5,4202,21765000.0,,170053222,37.7287295485047,-122.43129384332,SFPD-CROSSROADS,CITY STREET,01/20/2017 06:45:00 AM,2017 January 20,06:45:00,2017,January,Friday,SILVER AVE,MISSION ST,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - No Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Not Stated,Pedestrian,South,Proceeding Straight,POINT (-122.4313 37.72873),94.0,9.0,1.0,28.0,06
8641,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-1f4e,14942,28064000.0,261000.0,180897587,37.7798235282,-122.398395625,SFPD-INTERIM DB,CITY STREET,11/27/2018 11:24:00 PM,2018 November 27,23:24:00,2018,November,Tuesday,04TH ST,BRYANT ST,135.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Wet,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,2.0,Pedestrian,South,Proceeding Straight,Driver,East,Proceeding Straight,POINT (-122.3984 37.779823),32.0,1.0,10.0,34.0,23
8645,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2e4a,11876,24170000.0,725000.0,170977086,37.7650517862537,-122.419661538995,SFPD-CROSSROADS,CITY STREET,12/02/2017 02:57:00 PM,2017 December 02,14:57:00,2017,December,Saturday,16TH ST,MISSION ST,2.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Right Turn,Pedestrian,North,Proceeding Straight,POINT (-122.41966 37.765053),53.0,3.0,2.0,20.0,14
8646,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3222,38011,22773000.0,,170579579,37.7318185881694,-122.467848120302,SFPD-CROSSROADS,CITY STREET,07/17/2017 07:40:00 AM,2017 July 17,07:40:00,2017,July,Monday,DARIEN WAY,SANTA ANA AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.46785 37.73182),63.0,10.0,8.0,41.0,07
8650,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2d70,28170,24734000.0,,140261063,37.7937798574847,-122.402957359946,SFPD-CROSSROADS,CITY STREET,03/28/2014 05:56:00 PM,2014 March 28,17:56:00,2014,March,Friday,MONTGOMERY ST,SACRAMENTO ST,0.0,Clear,Injury (Other Visible),Head-On,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Other,Driver,South,Proceeding Straight,POINT (-122.402954 37.79378),108.0,6.0,3.0,8.0,17
8651,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-217e,12272,24171000.0,,160472961,37.7666736014155,-122.419825234445,SFPD-CROSSROADS,CITY STREET,06/10/2016 03:45:00 PM,2016 June 10,15:45:00,2016,June,Friday,15TH ST,MISSION ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.41982 37.766674),53.0,3.0,2.0,20.0,15
8652,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-2a4c,16057,23933000.0,,180188223,37.7780689812,-122.40506851,SFPD-INTERIM DB,CITY STREET,03/12/2018 12:45:00 PM,2018 March 12,12:45:00,2018,March,Monday,06TH ST,SHIPLEY ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.40507 37.77807),32.0,1.0,10.0,34.0,12
